Name,Date,Rate,Votes,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening,Genre,Genre 2,Genre 3
CSI: Vegas,2021,7.8,"1,313",None,Series,TV-14,10,No Rate,No Rate,No Rate,No Rate,No Rate,Crime,,
Stranger Things,2021,8.7,"918,729",51,Series,TV-14,34,Mild,Moderate,Moderate,Mild,Moderate,Drama, Fantasy, Horror
Titans,2021,7.6,"82,808",45,Series,TV-MA,37,Moderate,Severe,Severe,Mild,Moderate,Action, Adventure, Crime
Goliath,2021,8.2,"40,575",60,Series,TV-MA,32,Moderate,Moderate,Severe,Severe,Moderate,Drama,,
Breaking Bad,2021,9.4,"1,593,305",49,Series,TV-MA,62,Mild,Severe,Moderate,Severe,Severe,Crime, Drama, Thriller
On My Block,2021,8,"13,772",30,Series,TV-14,38,Mild,Moderate,Moderate,Moderate,Mild,Comedy, Drama,
Old,2021,5.8,"52,713",108,Film,PG-13,-,Mild,Moderate,Mild,None,Moderate,Drama, Horror, Mystery
Y: The Last Man,2021,6.3,"7,780",60,Series,TV-14,10,Mild,Moderate,Moderate,No Rate,No Rate,Action, Adventure, Drama
The Rookie,2021,8,"27,281",43,Series,TV-14,59,Mild,Moderate,Mild,Moderate,Mild,Comedy, Crime, Drama
No One Gets Out Alive,2021,5.3,"7,573",85,Film,R,-,None,Severe,Severe,No Rate,Severe,Drama, Horror, Mystery
Law & Order: Special Victims Unit,2021,8,"92,115",60,Series,TV-14,502,Moderate,Moderate,Moderate,Moderate,Severe,Crime, Drama, Mystery
Hocus Pocus,1993,6.9,"110,741",96,Film,PG,-,Mild,Mild,Mild,Mild,Moderate,Comedy, Family, Fantasy
The Office,1993,8.9,"475,207",22,Series,TV-14,188,Mild,None,Mild,Mild,None,Comedy,,
Chicago Fire,1993,8,"46,774",43,Series,TV-14,202,Mild,Moderate,Mild,Mild,Mild,Action, Drama,
Dune,1984,6.4,"142,157",137,Film,PG-13,-,Mild,Moderate,None,Mild,Moderate,Action, Adventure, Sci-Fi
You,1984,7.7,"173,763",45,Series,TV-MA,31,Moderate,Moderate,Mild,Mild,Moderate,Crime, Drama, Romance
Den skyldige,2018,7.5,"52,965",85,Film,R,-,None,None,Mild,None,Moderate,Crime, Drama, Thriller
Quantum of Solace,2008,6.6,"424,649",106,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate,Action, Adventure, Thriller
Doom Patrol,2008,7.9,"43,676",60,Series,TV-MA,35,Moderate,Severe,Severe,Mild,Moderate,Action, Adventure, Comedy
Yellowstone,2008,8.6,"48,060",60,Series,TV-MA,32,Moderate,Moderate,Severe,Moderate,Moderate,Drama, Western,
The Suicide Squad,2021,7.3,"224,344",132,Film,R,-,Moderate,Severe,Severe,Moderate,Severe,Action, Adventure, Comedy
Friends,2021,8.8,"903,947",22,Series,TV-PG,235,Mild,None,Mild,Mild,None,Comedy, Romance,
Eternals,2021,No Rate,No Votes,157,Film,PG-13,-,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Adventure, Drama
Brooklyn Nine-Nine,2021,8.4,"267,096",22,Series,TV-14,153,Mild,Mild,Mild,Mild,Mild,Comedy, Crime,
Cruella,2021,7.4,"174,071",134,Film,PG-13,-,None,Mild,Mild,Mild,Mild,Adventure, Comedy, Crime
The Blacklist,2021,8,"219,628",43,Series,TV-14,177,None,Moderate,Mild,Mild,Mild,Crime, Drama, Mystery
Supernatural,2021,8.4,"411,255",44,Series,TV-14,327,Mild,Moderate,Mild,Mild,Moderate,Drama, Fantasy, Horror
Downton Abbey,2021,8.7,"180,688",58,Series,TV-PG,52,Mild,Mild,Mild,Mild,Mild,Drama, Romance,
Animal Kingdom,2021,8.2,"30,515",60,Series,TV-MA,75,Moderate,Moderate,Moderate,Severe,Moderate,Crime, Drama,
Criminal Minds,2021,8.1,"177,854",42,Series,TV-14,323,Mild,Severe,Mild,Mild,Severe,Crime, Drama, Mystery
Halloween,1978,7.7,"248,788",91,Film,R,-,Moderate,Moderate,Mild,Mild,Severe,Horror, Thriller,
Vigil,1978,7.3,"10,126",None,Series,TV-MA,6,Mild,Moderate,Moderate,Moderate,Moderate,Crime, Drama, Mystery
Infinite,2021,5.5,"32,451",106,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate,Action, Sci-Fi, Thriller
V/H/S/94,2021,5.5,"3,196",103,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Horror, Mystery, Thriller
The Good Doctor,2021,8.1,"78,703",41,Series,TV-14,80,Mild,Moderate,Mild,Mild,Mild,Drama,,
Dexter,2021,8.6,"678,377",53,Series,TV-MA,96,Moderate,Severe,Severe,Mild,Severe,Crime, Drama, Mystery
The Green Knight,2021,6.6,"53,565",130,Film,R,-,Moderate,Moderate,None,Mild,Moderate,Adventure, Drama, Fantasy
Last Man Down,2021,No Rate,No Votes,87,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate,Action,,
The French Dispatch,2021,7.4,"1,370",108,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild,Comedy, Drama, Romance
The Boys,2021,8.7,"316,047",60,Series,TV-MA,24,Severe,Severe,Severe,Moderate,Severe,Action, Crime, Drama
Ridley Road,2021,6.6,704,None,Series,None,4,No Rate,No Rate,No Rate,No Rate,No Rate,Thriller,,
Vikings,2021,8.5,"472,761",44,Series,TV-MA,93,Severe,Severe,Mild,Mild,Severe,Action, Adventure, Drama
Spider-Man: No Way Home,2021,No Rate,No Votes,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Adventure, Sci-Fi
Silent Witness,2021,7.8,"7,917",120,Series,TV-14,232,Severe,Severe,Moderate,Moderate,Severe,Crime, Drama, Mystery
Ghosts,2021,7,"1,343",None,Series,None,6,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy, Fantasy,
The Card Counter,2021,6.2,"9,236",111,Film,R,-,Moderate,Moderate,Moderate,Mild,Severe,Crime, Drama, Thriller
Lamb,2021,6.7,"2,251",106,Film,R,-,Moderate,Moderate,Mild,Mild,Moderate,Drama, Horror, Mystery
Midsomer Murders,2021,7.8,"28,198",90,Series,TV-14,132,Mild,Moderate,Mild,Mild,Moderate,Crime, Drama, Mystery
Rick and Morty,2021,9.2,"436,882",23,Series,TV-MA,52,Moderate,Severe,Severe,Severe,Moderate,Animation, Adventure, Comedy
After We Fell,2021,5,"2,719",98,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild,Drama,,
Riverdale,2021,6.7,"130,524",45,Series,TV-14,98,Moderate,Moderate,Mild,Moderate,Moderate,Crime, Drama, Mystery
The Harder They Fall,2021,5.2,315,130,Film,R,-,Mild,Severe,Moderate,Moderate,Severe,Drama, Western,
Licorice Pizza,2021,No Rate,No Votes,None,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy, Drama,
Chicago Med,2021,7.6,"20,080",43,Series,TV-14,126,Mild,Moderate,Mild,Mild,Moderate,Drama,,
The Lost Symbol,2021,6.7,"2,851",None,Series,TV-PG,8,None,Mild,Mild,None,Mild,Action, Adventure, Drama
